"kelime","anlam"
"aynelyakîn","bir mesele hakkında gözle görmek sûretiyle, kesin bilgi sahibi olma"
"dahilî","iç, içsel olan"
"dalâlet","hak yoldan sapkınlık inançsızlık"
"ehl-i felsefe","felsefe ilmini temel kabul eden kişiler"
"ehl-i ilhad ve dalâlet","dinsiz ve sapık olanlar"
"evham","kuruntular, şüpheler"
"evvel","önce"
"Farisî","Farsça"
"Habbe","“dâne, tohum” mânâsını taşıyan ve bu eserde yer alan bir risale"
"hariçte","dışarıda"
"Hubab","“su kabarcığı” mânâsını taşıyan ve bu eserde yer alan bir risale"
"hükmünde","yerinde; bir şeyle aynı hükmü alma"
"hükmüne geçmek","benzer bir şeyle aynı hükmü almak"
"ilmelyakîn","ilme, bilgiye ve sağlam delillere dayanarak, kuşkuya yer bırakmayacak şekilde kesin bilme"
"ilzam ve iskât etmek","muhataba üstün gelmek ve onu susturmak"
"inkılâp etmek","değişmek, dönüşmek"
"itminan","inanma, tatmin olma"
"ittifak","birlik, bütünlük"
"Katre",""damla" mânâsını taşıyan ve bu eserde yer yer alan bir risale"
"küllî","genel, kapsamlı"
"Lâsiyyemalar","bu eserde yer alan bir risale. Lâsiyyema"
"Lem'alar",""parıltılar" mânâsını taşıyan ve bu eserde yer alan bir risale"
"Lemeat",""parıltılar" mânâsını taşıyan ve Sözler’in sonunda yer alan bir risale"
"lillâhilhamd","Allah’a hamd olsun ki"
"malûmat","bilgiler, bilinen şeyler"
"mecmua","kitap hâlinde bir araya getirilmiş eser"
"Mesnevî mecmuası","kitap hâlinde bir araya getirilen Mesnevî-i Nuriye risalesi"
"Mesnevî/Mesnevî-i Şerif","her beyti ayrı kafiye olan manzum eser; içinde dinî ve ahlâkî nasihatlar bulunan Mevlânâ’nın Farsça eseri"
"Mesnevîler","Mesnevî tarzıyla kaleme alınan eserler"
"meşhûdat","görünen ve bilinen şeyler"
"münazara","karşılıklı tartışma"
"mütehayyir","şaşkın"
"nefis/nefs-i emmare","insanı daima kötülüğe, haram olan zevk ve is-teklere sevk eden duygu"
"nevi","çeşit, tür"
"Nokta","bu eserde yer alan bir risale"
"Reşhalar",""sızıntılar" mânâsını taşı-yan ve bu eserde yer alan bir risale"
"Şemme",""kokucuk ve güzel koku" mânâsını taşıyan ve bu eserde yer alan bir risale"
"şeytan-ı cinnî ve insî","cinlerden ve insanlardan olup da insanları şerlere sevketmeye çalışan şeytanlar"
"Şu'le","“ateşten çıkan ince sivri alev” mânâsını taşıyan ve bu eserde yer alan bir risale"
"şübehat","şüpheler, delil diye ileri sürülen tutarsızlıklar"
"tab etmek","yazmak, basmak"
"tâlib-i hakikat","varlıkların arkasın-daki hakikatlere ulaşmak isteyen"
"Zerre",""atom" mânâsını taşıyan ve bu eserde yer alan bir risale"
"Zühre",""çiçek" mânâsını taşıyan ve bu eserde yer alan bir risale"
"âfâkî","dış dünyaya ait"
"alâkadar","alâkalı, ilgili"
"asâ","baston, değnek"
"cihet","yön"
"dahilî","iç, içsel"
"ehemmiyetli","önemli"
"ehl-i inat","dinsizlik ve inkarcılıkta inat edenler, direnenler"
"ekseri","çoğunlukla"
"enfüsî","iç dünyamıza ait"
"fehim","anlayış, kavrayış"
"fihrist","kitabın içindekiler bölümü"
"galebe etmek","yenmek; üstün gelmek"
"gayet","çok"
"hadsiz","sonsuz, sınırsız"
"haricî","dışa ait"
"hükema","aklî ilimlerde ve felsefede ileri seviyelere ulaşanlar"
"hükmünde","yerinde, bir şeyle aynı hükmü alma"
"i'câz-ı mânevî","mânevî yönde görünen mu'cizeler"
"i'lem",""bil ki!" mânâsında kullanılan uyarı ifadesi"
"ilm-i hakikat","hakikat ilmi; bir şeyin aslı ve esası, gerçek mahiyetini ortaya koyan ilim"
